"REPO_NAME","REPO_LINK","REPO_DESCRIPTION","REPO_ABOUT_LINK","REPO_TOPICS","REPO_README_PATH","REPO_COLLABORATION"
"ARgorithm-LearningSuite","https://github.com/TheOrionGD/ARgorithm-LearningSuite","Augmented Reality algorithm visualizer ΓÇö walk through sorting, searching & graph algorithms as interactive 3D structures in your physical space. Built with Kotlin, Jetpack Compose, ARCore/Sceneview, Node.js & MongoDB.","https://raw.githack.com/TheOrionGD/ARgorithm-LearningSuite/refs/heads/theoriongd/landing-page/index.html","algorithm-visualizer | android | arcore | augmented-reality | computer-science | dagger-hilt | data-structures | education | jetpack-compose | kotlin | mixed-reality | mongodb | nodejs | room-database | sceneview","readmes\ARgorithm-LearningSuite_README.md","NANDHINI6633 | SachinKumar-A | GRISH-SWIZZ"
"Dextra","https://github.com/TheOrionGD/Dextra","Control Without Contact ┬╖ Gesture-Driven Computing, Reimagined","","gesture-recognition | hand-tracking | mediapipe | opencv | pyautogui | python | react","readmes\Dextra_README.md","Salman4256"
"Veltrio.Suite","https://github.com/TheOrionGD/Veltrio.Suite","Veltrio Cyberdeck: Real-time translation, voice activity detection transcription, and sentiment classification using Whisper-Large and Llama-3 on a unified Groq architecture.","https://veltrio.vercel.app","cyberpunk-hud | groq-api | llama3 | real-time-translation | sentiment-analysis | vite-react | voice-activity-detection | whisper-large","readmes\Veltrio.Suite_README.md","AJU26-ARJUN"
"Zorynth-Radar","https://github.com/TheOrionGD/Zorynth-Radar","Meteorological insights and weather operations console","https://zorynth-radar.netlify.app/","dashboard | express | meteorological | nodejs | weather | weather-app","readmes\Zorynth-Radar_README.md",""
"TheOrionGD","https://github.com/TheOrionGD/TheOrionGD","My personal portfolio website built with React, TypeScript, Three.js, Framer Motion, Tailwind CSS, and MongoDB GridFS.","https://gds-portfolio.vercel.app","portfolio | react | vite | framer-motion | gridfs | interactive-ui | mongodb | tailwindcss | threejs | typescript | vercel | webgl | personal-website | software-engineer","readmes\TheOrionGD_README.md",""
"HealthCare","https://github.com/TheOrionGD/HealthCare","","","","readmes\HealthCare_README.md",""
"System-Monitor","https://github.com/TheOrionGD/System-Monitor","","","","readmes\System-Monitor_README.md",""
"AegisTrack-Platform","https://github.com/TheOrionGD/AegisTrack-Platform","AegisTrackΓäó Consent-Based Device Monitoring & Communication Platform. Consent-Based Device Monitoring, Communication & Multi-Device Management Platform","","consent-based-ux | cybersecurity-policies | device-management | flask | javafx-dashboard","readmes\AegisTrack-Platform_README.md",""
"NutriGuard","https://github.com/TheOrionGD/NutriGuard","","","","readmes\NutriGuard_README.md",""
"ProjectSphere-CollaborationHub","https://github.com/TheOrionGD/ProjectSphere-CollaborationHub","","","","readmes\ProjectSphere-CollaborationHub_README.md",""
"Arcade","https://github.com/TheOrionGD/Arcade","A modular local-multiplayer strategy & skill arcade portal featuring 6 unique strategy, reflex, memory, and speed-typing arenas styled with a custom cyberpunk retro-synth UI.","https://raw.githack.com/TheOrionGD/Arcade/refs/heads/main/index.html","arcade-games | css | cyberpunk | game-portal | html5 | javascript | local-multiplayer | multiplayer | tic-tac-toe | web-audio-api","readmes\Arcade_README.md",""
"TextInsight-NLP","https://github.com/TheOrionGD/TextInsight-NLP","Advanced Natural Language Processing pipeline in Python for extracting insights, sentiment, and structured data from unstructured text.","","python3 | regular-expression | data-science | keyword-extraction | nlp | nmf | python | readability | sentiment-analysis | text-processing","readmes\TextInsight-NLP_README.md",""
"ScholarAI-LearningPlatform","https://github.com/TheOrionGD/ScholarAI-LearningPlatform","The Intelligent Academic Assistant & Learning Management System powered by AI.","https://ai-enhanced-lms.vercel.app","ai | edtech | express | learning-platform | lms | mongodb | nodejs | react","readmes\ScholarAI-LearningPlatform_README.md","GRISH-SWIZZ | HARIHAR1406 | Girijesh26"
"ScholarAI-AcademicAssistant","https://github.com/TheOrionGD/ScholarAI-AcademicAssistant","An Advanced AI-Powered Academic Research Assistant System using RAG, FastAPI, and React.","","academic-project | chromadb | embeddings | fastapi | huggingface-sentence-transformers | llm | mongodb-atlas | nlp | python | rag | react | redis | research-assistant | semantic-search-engine | tailwindcss | vector-database | vite | zustand-state-management","readmes\ScholarAI-AcademicAssistant_README.md","GRISH-SWIZZ"
"QueueFlow-Manager","https://github.com/TheOrionGD/QueueFlow-Manager","An advanced, priority-based waiting list and dynamic seat management system built in C.","https://raw.githack.com/TheOrionGD/QueueFlow-Manager/refs/heads/main/web-demo/index.html","c | console-application | cli | data-structures | linked-list | queue | systems-programming","readmes\QueueFlow-Manager_README.md",""
"Portfolio-Legacy","https://github.com/TheOrionGD/Portfolio-Legacy","A highly interactive, professional-grade personal portfolio showcasing academic achievements, projects, and web development skills, built during the Prodigy Infotech Internship.","https://raw.githack.com/TheOrionGD/Portfolio-Legacy/refs/heads/main/index.html","css | dark-theme | frontend | glassmorphism | html | javascript | portfolio | prodigy-infotech | web-development","readmes\Portfolio-Legacy_README.md",""
"PasswordGuard-Security","https://github.com/TheOrionGD/PasswordGuard-Security","CyberGuard: An advanced, privacy-first password security tool featuring local entropy analysis, secure generation, and Have I Been Pwned integration via K-Anonymity.","https://raw.githack.com/TheOrionGD/PasswordGuard-Security/refs/heads/main/index.html","cybersecurity | haveibeenpwned | internship-project | javascript | k-anonymity | password-generator | password-strength","readmes\PasswordGuard-Security_README.md",""
"Luminix-ExperiencePlatform","https://github.com/TheOrionGD/Luminix-ExperiencePlatform","Next-Gen C-based Embedded Database and JSON I/O Engine with ACID transactions and high-speed indexing.","https://raw.githack.com/TheOrionGD/Luminix-ExperiencePlatform/refs/heads/main/landing.html","acid-compliance | c | database | json | query-engine","readmes\Luminix-ExperiencePlatform_README.md",""
"HostelSphere-Management","https://github.com/TheOrionGD/HostelSphere-Management","≡ƒÄô College Semester Project: A role-based Hostel Management System built with Python (Tkinter) & MySQL, featuring an interactive web presentation simulator.","https://raw.githack.com/TheOrionGD/HostelSphere-Management/refs/heads/main/index.html","hostel-management-system | mysql-database | python | tkinter-gui | college-project | dbms | hostel-management | html5 | interactive-simulator | mysql | presentation | semester-project | tkinter","readmes\HostelSphere-Management_README.md",""
"ImageStudio-Toolkit","https://github.com/TheOrionGD/ImageStudio-Toolkit","Next-Generation, Client-Side Image Manipulation Studio built with Vanilla JS","https://raw.githack.com/TheOrionGD/ImageStudio-Toolkit/refs/heads/main/index.html","glassmorphism | html5-canvas | image-processing | privacy-first | vanilla-javascript","readmes\ImageStudio-Toolkit_README.md",""
"GitConfigMaster-Toolkit","https://github.com/TheOrionGD/GitConfigMaster-Toolkit","Interactive gamified Git configuration learning toolkit ΓÇö master scopes, precedence, pipelines & conflict resolution","https://git-config-master.vercel.app","dark-theme | developer-tools | education | gamification | git | git-configuration | git-tutorial | interactive-learning | learning-platform | react | tailwindcss | typescript | vite | web-audio-api","readmes\GitConfigMaster-Toolkit_README.md",""
"FlappyBird-GameEngine","https://github.com/TheOrionGD/FlappyBird-GameEngine","A cross-platform Flappy Bird game built on a hand-crafted JavaScript canvas engine. Runs on web browsers and Android via Capacitor.","https://flappy-bird-pro-mocha.vercel.app/","android | capacitor | cross-platform | css3 | es6 | flappy-bird | game-engine | glassmorphism | html5-canvas | javascript | web-audio-api | web-game","readmes\FlappyBird-GameEngine_README.md",""
"FinTrack-Pro","https://github.com/TheOrionGD/FinTrack-Pro","A local-first, privacy-respecting personal finance tracker with glassmorphic UI, multi-currency support, CSV export, and PNG report generation ΓÇö built with vanilla HTML, CSS & JS.","","budget-tracker | css3 | csv-export | dark-theme | expense-tracker | finance-dashboard | glassmorphism | html5 | local-first | localstorage | no-backend | personal-finance | privacy | responsive-design | vanilla-javascript","readmes\FinTrack-Pro_README.md",""
"EntityEase-DataPlatform","https://github.com/TheOrionGD/EntityEase-DataPlatform","Hierarchical attention-based clinical entity extraction and ICD-11 classification platform.","","biobert | clinical-nlp | faiss | fastapi | hierarchical-attention-network | icd-11 | medical-informatics | pytorch | react","readmes\EntityEase-DataPlatform_README.md","Gangash12 | devicharan-prof"
"EchoCortex-Intelligence","https://github.com/TheOrionGD/EchoCortex-Intelligence","Institutional-grade Decentralized Intelligence Platform & Automated Second Brain running on a hybrid storage fabric.","","ai-agents | huggingface-models | knowledge-graph | llms | mongodb-atlas | second-brain | semantic-search | spech-to-text","readmes\EchoCortex-Intelligence_README.md","ABDUL-RAZEEK-A"
"CodeChallenge-Pro","https://github.com/TheOrionGD/CodeChallenge-Pro","A premium, gamified coding playground built with vanilla HTML/CSS/JS. Features an interactive editor with scroll-synced line numbers, simulated terminal compiler logs, local state tracking, forum discussions, and leaderboard progression.","","codechallenge | css3 | es6-javascript | first-repository | vanilla-html","readmes\CodeChallenge-Pro_README.md",""
"ChronoTimer-Utility","https://github.com/TheOrionGD/ChronoTimer-Utility","A high-precision, client-side timing utility featuring a stopwatch, countdown timer, and Pomodoro focus assistant with synthesized audio alerts and a responsive glassmorphic interface.","","pomodoro-session | timer-counter | web-audio-synthesizer","readmes\ChronoTimer-Utility_README.md",""
"AegisTrack-Mobile","https://github.com/TheOrionGD/AegisTrack-Mobile","AegisTrack MTS (Mobile Tracking System) is an console and location simulation engine designed for mobile asset tracking, telemetry analysis, and security incident response","","api-gateway | java-awt-swing | jdk17 | regex-pattern","readmes\AegisTrack-Mobile_README.md",""
